,1星,2星,3星,4星,5星,actor,comment,country,date,director,language,name,score,scriptwriter,time,type
94,0.2%,0.6%,8.5%,38.2%,52.6%,休·杰克曼,531715,['\n        '],['2006-10-20(美国)'],克里斯托弗·诺兰,['\n        '],致命魔术 The Prestige,8.8,乔纳森·诺兰,130分钟,"['剧情', '悬疑', '惊悚']"
95,0.1%,0.3%,5.3%,32.2%,62.2%,艾德里安·布洛迪,316233,[' '],"['2002-05-24(戛纳电影节)', '2002-09-25(法国)']",罗曼·波兰斯基,[' / '],钢琴家 The Pianist,9.1,罗纳德·哈伍德,150分钟,"['剧情', '音乐', '传记', '历史', '战争']"
96,0.4%,1.1%,9.1%,33.8%,55.6%,中谷美纪,476978,['\n        '],['2006-05-27(日本)'],中岛哲也,['\n        '],被嫌弃的松子的一生 嫌われ松子の一生,8.9,中岛哲也,130 分钟,"['剧情', '歌舞']"
97,0.2%,0.6%,8.9%,42.6%,47.7%,本·阿弗莱克,563479,['\n        '],"['2014-09-26(纽约电影节)', '2014-10-03(美国)']",大卫·芬奇,[' '],消失的爱人 Gone Girl,8.7,吉莉安·弗琳,149分钟,"['剧情', '悬疑', '惊悚', '犯罪']"
98,0.3%,0.9%,10.7%,38.6%,49.6%,克里斯蒂安·贝尔,449161,[' '],"['2012-08-27(中国大陆)', '2012-07-20(美国)']",克里斯托弗·诺兰,[' / '],蝙蝠侠：黑暗骑士崛起 The Dark Knight Rises,8.7,大卫·S·高耶,165分钟,"['剧情', '动作', '科幻', '惊悚', '犯罪']"
99,0.1%,0.5%,10.4%,42.4%,46.7%,杰伊·巴鲁切尔,470778,['\n        '],"['2010-05-14(中国大陆)', '2010-03-18(俄罗斯)', '2010-03-26(美国)']",迪恩·德布洛斯,['\n        '],驯龙高手 How to Train Your Dragon,8.7,威廉姆·戴维斯,98分钟,"['动画', '奇幻', '冒险']"
100,0.2%,0.5%,5.9%,28.0%,65.4%,罗伯特·德尼罗,266425,['\n        '],"['1984-02-17(波士顿首映)', '1984-09-28(意大利)']",赛尔乔·莱昂内,['\n        '],美国往事 Once Upon a Time in America,9.2,皮耶罗·德·贝纳迪,229分钟(导演剪辑版),"['剧情', '犯罪']"
101,0.1%,0.6%,11.3%,43.6%,44.4%,雅各布·特伦布莱,353744,['\n        '],"['2018-01-19(中国大陆)', '2017-11-17(美国)']",斯蒂芬·卓博斯基,['\n        '],奇迹男孩 Wonder,8.6,斯蒂芬·卓博斯基,113分钟,"['剧情', '家庭', '儿童']"
102,0.1%,0.2%,4.4%,29.3%,65.9%,法拉赫阿米尔·哈什米安,239720,['\n        '],"['1997-02(伊朗)', '1999-01-22(美国)']",马基德·马基迪,['\n        '],小鞋子 بچههای آسمان,9.2,马基德·马基迪,89分钟,"['剧情', '家庭', '儿童']"
103,0.2%,0.5%,6.3%,30.4%,62.6%,杰森·弗莱明,389225,['\n        '],['1998-08-28(英国)'],盖·里奇,['\n        '],"两杆大烟枪 Lock, Stock and Two Smoking Barrels",9.1,盖·里奇,107分钟,"['剧情', '喜剧', '犯罪']"
104,0.1%,0.5%,9.1%,36.6%,53.7%,松田洋治,353675,['\n        '],['1997-07-12(日本)'],宫崎骏,['\n        '],幽灵公主 もののけ姫,8.9,宫崎骏,134分钟,"['动画', '奇幻', '冒险']"
105,0.2%,0.6%,8.4%,35.2%,55.6%,张国荣,395220,['\n        '],"['1997-05-30(中国香港)', '1997-05-17(戛纳电影节)']",王家卫,['\n        '],春光乍泄 春光乍洩,8.9,王家卫,96分钟,"['剧情', '爱情', '同性']"
106,0.4%,1.6%,16.6%,42.4%,39.0%,平采娜·乐维瑟派布恩,677869,['\n        '],"['2012-06-05(中国大陆)', '2010-08-12(泰国)']",普特鹏·普罗萨卡·那·萨克那卡林,['\n        '],初恋这件小事 สิ่งเล็กเล็กที่เรียกว่า...รัก,8.4,普特鹏·普罗萨卡·那·萨克那卡林,118分钟(泰国),"['剧情', '喜剧', '爱情']"
107,0.2%,0.7%,10.9%,36.8%,51.3%,希斯·莱杰,478839,['\n        '],"['2005-09-02(威尼斯电影节)', '2006-01-06(加拿大)', '2006-01-13(美国)']",李安,[' '],断背山 Brokeback Mountain,8.8,拉里·麦克穆特瑞,134分钟,"['剧情', '爱情', '同性', '家庭']"
108,0.2%,0.4%,6.2%,29.0%,64.2%,山本圭,107848,['\n        '],['1987-08-01(日本)'],神山征二郎,['\n        '],忠犬八公物语 ハチ公物語,9.1,新藤兼人,107 分钟,['剧情']
109,0.5%,1.7%,18.6%,46.4%,32.8%,小罗伯特·唐尼,512793,['\n        '],"['2012-05-05(中国大陆)', '2012-05-04(美国)']",乔斯·韦登,[' '],复仇者联盟 The Avengers,8.2,乔斯·韦登,142分钟,"['动作', '科幻', '奇幻', '冒险']"
110,0.3%,0.8%,10.5%,39.2%,49.2%,林青霞,502814,['\n        '],['1994-07-14(中国香港)'],王家卫,['\n        '],重庆森林 重慶森林,8.7,王家卫,102分钟,"['剧情', '爱情']"
111,0.9%,2.4%,14.5%,43.2%,39.0%,任素汐,548687,['\n        '],['2016-10-28(中国大陆)'],周申,['\n        '],驴得水,8.3,周申,111分钟,"['剧情', '喜剧']"
112,0.2%,1.0%,17.4%,48.7%,32.7%,小罗伯特·唐尼,415215,['\n        '],"['2008-04-30(中国大陆)', '2008-04-14(悉尼首映)', '2008-05-02(美国)']",乔恩·费儒,[' '],钢铁侠 Iron Man,8.3,阿特·马库姆,126 分钟,"['动作', '科幻', '惊悚', '冒险']"
113,0.2%,0.8%,8.9%,39.3%,50.8%,宋康昊,376175,['\n        '],['2003-05-02(韩国)'],奉俊昊,[' '],杀人回忆 살인의 추억,8.8,奉俊昊,131分钟,"['剧情', '悬疑', '惊悚', '犯罪']"
