,1星,2星,3星,4星,5星,actor,comment,country,date,director,language,name,score,scriptwriter,time,type
170,0.1%,0.5%,7.8%,31.1%,60.4%,梁正晖,145766,['\n        '],['1979-05-19(中国大陆)'],严定宪,['\n        '],哪吒闹海,9.0,王树忱,65分钟,"['动画', '奇幻', '冒险']"
171,0.3%,0.7%,8.8%,44.2%,46.0%,霍卫民,296261,['\n        '],"['2015-10-16(中国大陆)', '2014-07-21(FIRST青年影展)', '2014-08-28(威尼斯电影节)']",忻钰坤,['\n        '],心迷宫,8.7,忻钰坤,110分钟(中国大陆),"['剧情', '悬疑', '犯罪']"
172,0.3%,1.0%,12.0%,37.5%,49.2%,基努·里维斯,247481,['\n        '],['2003-11-05(美国/中国大陆)'],莉莉·沃卓斯基,['\n        '],黑客帝国3：矩阵革命 The Matrix Revolutions,8.7,莉莉·沃卓斯基,129 分钟,"['动作', '科幻']"
173,0.1%,0.4%,9.7%,40.4%,49.4%,志田未来,329515,['\n        '],['2010-07-17(日本)'],米林宏昌,['\n        '],借东西的小人阿莉埃蒂 借りぐらしのアリエッティ,8.8,宫崎骏,94分钟,"['动画', '奇幻', '冒险']"
174,0.4%,1.4%,14.3%,43.9%,40.0%,梅利莎·乔治,491982,['\n        '],['2009-10-16(英国)'],克里斯托弗·史密斯,['\n        '],恐怖游轮 Triangle,8.4,克里斯托弗·史密斯,99 分钟,"['剧情', '悬疑', '惊悚']"
175,0.1%,0.5%,10.0%,39.6%,49.9%,马特·达蒙,272458,['\n        '],"['2007-11-15(中国大陆)', '2007-08-03(美国)']",保罗·格林格拉斯,['\n        '],谍影重重3 The Bourne Ultimatum,8.8,托尼·吉尔罗伊,115分钟,"['动作', '悬疑', '惊悚']"
176,0.4%,1.0%,11.0%,37.4%,50.2%,雷·沃纳尔,312286,['\n        '],"['2004-01-19(圣丹斯电影节)', '2004-10-29(美国)']",温子仁,['\n        '],电锯惊魂 Saw,8.7,温子仁,103分钟,"['悬疑', '惊悚', '恐怖']"
177,0.1%,0.6%,9.7%,39.6%,50.0%,周润发,247082,['\n        '],['1991-02-02(中国香港)'],吴宇森,[' '],纵横四海 緃横四海,8.8,吴宇森,108分钟,"['剧情', '喜剧', '动作', '犯罪']"
178,0.2%,0.9%,11.4%,43.7%,43.7%,卡西·阿弗莱克,314054,['\n        '],"['2017-08-25(中国大陆)', '2016-01-23(圣丹斯电影节)', '2016-11-18(美国)']",肯尼思·洛纳根,['\n        '],海边的曼彻斯特 Manchester by the Sea,8.6,肯尼思·洛纳根,137分钟,"['剧情', '家庭']"
179,0.1%,0.6%,9.5%,40.9%,49.0%,汤姆·汉克斯,331898,['\n        '],"['2005-01-14(中国大陆)', '2004-06-18(美国)']",史蒂文·斯皮尔伯格,['\n        '],幸福终点站 The Terminal,8.8,安德鲁·尼科尔,128分钟,"['剧情', '喜剧', '爱情']"
180,0.1%,0.4%,8.3%,44.1%,47.1%,马修·麦康纳,283311,['\n        '],"['2013-09-07(多伦多电影节)', '2013-11-22(美国)']",让-马克·瓦雷,['\n        '],达拉斯买家俱乐部 Dallas Buyers Club,8.8,克莱格·鲍登,117分钟,"['剧情', '同性', '传记']"
181,0.4%,2.3%,22.1%,46.8%,28.3%,克里斯·帕拉特,360515,['\n        '],"['2017-05-05(中国大陆/美国)', '2017-04-19(洛杉矶首映)']",詹姆斯·古恩,['\n        '],银河护卫队2 Guardians of the Galaxy Vol. 2,8.0,詹姆斯·古恩,136分钟,"['动作', '科幻', '冒险']"
182,0.9%,2.3%,17.5%,41.2%,38.1%,张磊,512787,['\n        '],['2015-07-10(中国大陆)'],田晓鹏,['\n        '],西游记之大圣归来,8.3,田晓鹏,89分钟,"['剧情', '动画', '奇幻']"
183,0.3%,1.3%,14.1%,38.5%,45.8%,休·格兰特,452777,['\n        '],"['2003-09-07(多伦多电影节)', '2003-11-06(美国)', '2003-11-21(英国)']",理查德·柯蒂斯,['\n        '],真爱至上 Love Actually,8.6,理查德·柯蒂斯,135 分钟,"['剧情', '喜剧', '爱情']"
184,0.1%,0.5%,9.2%,39.3%,51.0%,黎明,326047,['\n        '],"['1996-11-02(中国香港)', '2015-02-13(中国大陆)']",陈可辛,['\n        '],甜蜜蜜,8.8,岸西,118分钟(中国大陆),"['剧情', '爱情']"
185,0.3%,1.0%,11.6%,42.4%,44.7%,盖·皮尔斯,394128,['\n        '],"['2000-09-05(威尼斯电影节)', '2000-10-20(英国)', '2001-05-25(美国)']",克里斯托弗·诺兰,[' '],记忆碎片 Memento,8.6,克里斯托弗·诺兰,113分钟,"['剧情', '悬疑', '惊悚', '犯罪']"
186,0.2%,1.0%,16.3%,45.9%,36.7%,丹尼尔·雷德克里夫,273140,['\n        '],"['2005-11-18(中国大陆)', '2005-11-06(英国)']",迈克·内威尔,['\n        '],哈利·波特与火焰杯 Harry Potter and the Goblet of Fire,8.4,史蒂夫·克洛夫斯,157 分钟,"['奇幻', '冒险']"
187,0.4%,1.1%,10.9%,40.3%,47.3%,迈尔斯·特勒,344506,['\n        '],"['2014-01-16(圣丹斯电影节)', '2014-10-10(美国)']",达米恩·查泽雷,['\n        '],爆裂鼓手 Whiplash,8.7,达米恩·查泽雷,107分钟,"['剧情', '音乐']"
188,0.2%,0.7%,11.5%,43.2%,44.4%,梁朝伟,358277,['\n        '],"['2000-09-29(中国香港)', '2000-05-20(戛纳电影节)']",王家卫,['\n        '],花样年华 花樣年華,8.6,王家卫,98 分钟,"['剧情', '爱情']"
189,0.1%,0.4%,8.0%,43.3%,48.1%,布丽·拉尔森,246448,['\n        '],"['2015-09-04(特柳赖德电影节)', '2015-10-23(多伦多)', '2016-01-15(爱尔兰/英国)', '2016-01-22(美国)']",伦尼·阿伯拉罕森,['\n        '],房间 Room,8.8,艾玛·多诺霍,118分钟,"['剧情', '家庭']"
190,0.2%,0.6%,8.4%,41.6%,49.3%,达里奥·格兰迪内蒂,245101,['\n        '],"['2014-05-17(戛纳电影节)', '2014-08-21(阿根廷)']",达米安·斯兹弗隆,['\n        '],荒蛮故事 Relatos salvajes,8.8,达米安·斯兹弗隆,122分钟,"['剧情', '喜剧', '犯罪']"
191,0.4%,1.6%,22.0%,49.6%,26.5%,克里斯·埃文斯,349826,['\n        '],"['2014-04-04(美国/中国大陆)', '2014-03-13(加州首映)']",安东尼·罗素,['\n        '],美国队长2 Captain America: The Winter Soldier,8.0,克里斯托弗·马库斯,136分钟,"['动作', '科幻', '冒险']"
192,0.4%,1.5%,17.0%,45.3%,35.8%,休·杰克曼,340797,['\n        '],"['2017-03-03(中国大陆/美国)', '2017-02-17(柏林电影节)', '2017-05-16(黑白版)']",詹姆斯·曼高德,['\n        '],金刚狼3：殊死一战 Logan,8.3,詹姆斯·曼高德,123分钟(中国大陆),"['剧情', '动作', '科幻']"
193,0.4%,1.4%,14.8%,45.5%,38.0%,塔伦·埃格顿,474304,['\n        '],"['2015-03-27(中国大陆)', '2014-12-13(BNAT电影节)', '2015-01-29(英国)']",马修·沃恩,['\n        '],王牌特工：特工学院 Kingsman: The Secret Service,8.4,简·古德曼,125分钟(中国大陆),"['喜剧', '动作', '冒险']"
194,0.2%,0.5%,6.1%,31.4%,61.8%,凯文·科斯特纳,140092,['\n        '],['1993-11-24(美国)'],克林特·伊斯特伍德,['\n        '],完美的世界 A Perfect World,9.1,约翰·李·汉考克,138分钟,"['剧情', '犯罪']"
195,0.1%,0.8%,13.7%,49.0%,36.3%,杰克·吉伦哈尔,542810,['\n        '],"['2011-08-30(中国大陆)', '2011-03-11(西南偏南电影节)', '2011-04-01(美国)']",邓肯·琼斯,['\n        '],源代码 Source Code,8.4,本·雷普利,93分钟,"['科幻', '悬疑', '惊悚']"
196,0.3%,1.4%,15.2%,50.1%,33.0%,宋洋,312908,['\n        '],"['2018-04-04(中国大陆)', '2017-07-27(FIRST青年影展)']",忻钰坤,['\n        '],暴裂无声,8.3,忻钰坤,120分钟,"['剧情', '悬疑', '犯罪']"
197,0.3%,1.2%,14.1%,40.9%,43.4%,瑞恩·高斯林,409379,['\n        '],['2004-06-25(美国)'],尼克·卡萨维蒂,['\n        '],恋恋笔记本 The Notebook,8.5,扬·萨尔迪,123分钟,"['剧情', '爱情']"
198,0.1%,0.4%,7.2%,39.2%,53.1%,唐·钱德尔,173953,['\n        '],"['2004-09-11(多伦多电影节)', '2005-03-04(英国)']",特瑞·乔治,['\n        '],卢旺达饭店 Hotel Rwanda,8.9,凯尔·皮尔森,121分钟,"['剧情', '历史', '战争']"
199,0.6%,1.6%,12.6%,37.7%,47.4%,汤姆·哈迪,321015,['\n        '],"['2015-05-14(澳大利亚)', '2015-05-15(美国)']",乔治·米勒,['\n        '],疯狂的麦克斯4：狂暴之路 Mad Max: Fury Road,8.6,乔治·米勒,120分钟,"['动作', '科幻', '冒险']"
200,0.4%,1.0%,8.4%,28.8%,61.5%,吴念真,222801,['\n        '],"['2017-07-28(中国台湾)', '2000-05-14(戛纳电影节)', '2000-12-16(日本)']",杨德昌,['\n        '],一一,9.0,杨德昌,173分钟,"['剧情', '爱情', '家庭']"
201,0.7%,2.0%,16.8%,41.7%,38.9%,范·迪塞尔,359147,['\n        '],"['2015-04-12(中国大陆)', '2015-04-03(美国)']",温子仁,['\n        '],速度与激情7 Furious 7,8.3,克里斯·摩根,137分钟,"['动作', '犯罪']"
202,0.3%,0.9%,14.1%,48.1%,36.7%,赵薇,361235,['\n        '],"['2014-09-25(中国大陆)', '2015-01-22(中国香港)', '2014-08-28(威尼斯电影节)']",陈可辛,['\n        '],亲爱的,8.4,张冀,130分钟,"['剧情', '家庭']"
203,0.1%,0.5%,11.7%,40.4%,47.2%,阿诺·施瓦辛格,217520,['\n        '],"['1991-07-03(美国)', '2017-02-17(柏林电影节 3D)']",詹姆斯·卡梅隆,['\n        '],终结者2：审判日 Terminator 2: Judgment Day,8.7,詹姆斯·卡梅隆,137分钟,"['动作', '科幻']"
204,0.1%,0.5%,9.3%,42.5%,47.5%,绫濑遥,234196,['\n        '],"['2015-05-14(戛纳电影节)', '2015-06-13(日本)']",是枝裕和,['\n        '],海街日记 海街diary,8.7,是枝裕和,127分钟,"['剧情', '家庭']"
205,0.2%,0.6%,11.2%,46.4%,41.6%,加里·奥德曼,237256,['\n        '],"['2017-12-01(中国大陆)', '2017-09-01(特柳赖德电影节)', '2018-01-12(英国)']",乔·赖特,['\n        '],至暗时刻 Darkest Hour,8.6,安东尼·麦卡滕,125分钟,"['剧情', '传记', '历史']"
206,0.6%,2.6%,22.3%,46.6%,27.8%,张涵予,522868,['\n        '],['2016-09-30(中国大陆)'],林超贤,['\n        '],湄公河行动,8.0,林超贤,124分钟,"['动作', '犯罪']"
207,0.2%,0.8%,12.4%,46.6%,40.0%,张国荣,315766,['\n        '],"['1990-12-15(中国香港)', '2018-06-25(中国大陆)']",王家卫,['\n        '],阿飞正传 阿飛正傳,8.5,王家卫,94分钟,"['剧情', '爱情', '犯罪']"
208,1.3%,1.6%,10.4%,33.3%,53.5%,辰己努,288462,['\n        '],['1988-04-16(日本)'],高畑勋,['\n        '],萤火虫之墓 火垂るの墓,8.7,高畑勋,89 分钟,"['剧情', '动画', '战争']"
209,1.0%,3.0%,24.8%,44.8%,26.4%,克里斯·埃文斯,369078,['\n        '],"['2016-05-06(中国大陆/美国)', '2016-04-12(加州首映)']",安东尼·罗素,['\n        '],美国队长3 Captain America: Civil War,7.9,克里斯托弗·马库斯,148分钟(中国大陆),"['动作', '科幻', '冒险']"
210,0.1%,0.4%,8.0%,37.1%,54.4%,西恩·潘,174641,['\n        '],['2001-12-03(美国)'],杰茜·尼尔森,['\n        '],我是山姆 I Am Sam,8.9,杰茜·尼尔森,132 分钟,"['剧情', '家庭']"
211,0.1%,0.6%,11.8%,46.0%,41.5%,张曼玉,277385,['\n        '],"['1992-08-27(中国香港)', '2012-02-24(中国大陆)']",李惠民,[' '],新龙门客栈 新龍門客棧,8.6,徐克,88分钟,"['动作', '爱情', '武侠', '古装']"
212,0.1%,0.9%,13.7%,43.7%,41.6%,张曼玉,322600,['\n        '],['1993-11-04(中国香港)'],徐克,[' '],青蛇,8.5,李碧华,99分钟,"['剧情', '爱情', '奇幻', '古装']"
213,0.3%,1.0%,9.9%,34.9%,53.8%,伊桑·霍克,180732,['\n        '],['2013-06-14(美国)'],理查德·林克莱特,['\n        '],爱在午夜降临前 Before Midnight,8.8,理查德·林克莱特,109分钟,"['剧情', '爱情']"
214,0.1%,0.4%,9.5%,44.6%,45.3%,达斯汀·霍夫曼,281275,['\n        '],['1988-12-16(美国)'],巴瑞·莱文森,['\n        '],雨人 Rain Man,8.7,罗纳德·巴斯,133分钟,['剧情']
215,0.3%,1.3%,17.8%,48.4%,32.2%,休·杰克曼,359197,['\n        '],['2014-05-23(美国/中国大陆)'],布莱恩·辛格,[' '],X战警：逆转未来 X-Men: Days of Future Past,8.2,西蒙·金伯格,132分钟,"['剧情', '动作', '科幻', '冒险']"
216,0.6%,2.5%,18.3%,37.9%,40.7%,水桥研二,437605,['\n        '],['2007-03-03(日本)'],新海诚,['\n        '],秒速5厘米 秒速5センチメートル,8.3,新海诚,63分钟,"['剧情', '爱情', '动画']"
217,0.1%,0.7%,14.7%,48.8%,35.8%,周星驰,297955,['\n        '],['1994-03-31'],王晶,['\n        '],九品芝麻官,8.4,王晶,108分钟,"['喜剧', '古装']"
218,0.4%,1.2%,12.8%,44.3%,41.2%,艾米丽·芭尔多尼,301455,['\n        '],"['2013-09-19(奇幻电影节)', '2014-08-06(美国)']",詹姆斯·沃德·布柯特,['\n        '],彗星来的那一夜 Coherence,8.5,詹姆斯·沃德·布柯特,89分钟,"['科幻', '悬疑', '惊悚']"
219,0.2%,0.8%,8.6%,33.9%,56.5%,托妮·科莱特,302845,['\n        '],"['2009-01-15(圣丹斯电影节)', '2009-04-09(澳大利亚)']",亚当·艾略特,['\n        '],玛丽和马克思 Mary and Max,8.9,亚当·艾略特,92分钟,"['剧情', '喜剧', '动画']"
220,0.2%,0.6%,9.2%,41.4%,48.5%,李政宰,175244,['\n        '],['2013-02-21(韩国)'],朴勋政,['\n        '],新世界 신세계,8.8,朴勋政,134分钟,"['剧情', '犯罪']"
221,0.3%,0.8%,9.7%,38.7%,50.5%,三船敏郎,190827,['\n        '],['1950-08-26(日本)'],黑泽明,['\n        '],罗生门 羅生門,8.8,黑泽明,88分钟,"['剧情', '悬疑', '犯罪']"
222,0.1%,0.7%,12.8%,43.6%,42.8%,马特·达蒙,276480,['\n        '],"['2002-11-21(中国大陆)', '2002-06-14(美国)']",道格·里曼,['\n        '],谍影重重 The Bourne Identity,8.6,托尼·吉尔罗伊,119分钟,"['动作', '悬疑', '惊悚']"
223,0.1%,0.3%,6.6%,41.1%,51.9%,赵文瑄,211085,[' '],"['1993-02(柏林电影节)', '1993-08-04(美国)']",李安,[' / '],喜宴 囍宴,8.9,李安,108分钟,"['剧情', '喜剧', '爱情', '同性', '家庭']"
224,0.1%,0.5%,11.0%,44.4%,44.0%,马特·达蒙,231891,['\n        '],"['2004-11-14(中国大陆)', '2004-07-15(洛杉矶首映)', '2004-07-23(美国)']",保罗·格林格拉斯,['\n        '],谍影重重2 The Bourne Supremacy,8.6,罗伯特·鲁德鲁姆,108分钟,"['动作', '悬疑', '惊悚']"
225,0.2%,0.7%,12.2%,45.1%,41.8%,亨利·托马斯,224537,['\n        '],"['1982-05-26(戛纳电影节)', '1982-06-11(美国)']",史蒂文·斯皮尔伯格,['\n        '],E.T. 外星人 E.T.: The Extra-Terrestrial,8.6,梅丽莎·马西森,115分钟,"['剧情', '科幻']"
226,0.2%,1.0%,14.9%,44.2%,39.8%,奈良柚莉爱,276748,['\n        '],['2008-07-19(日本)'],宫崎骏,['\n        '],悬崖上的金鱼姬 崖の上のポニョ,8.4,宫崎骏,101分钟,"['动画', '奇幻', '冒险']"
227,0.2%,1.0%,13.5%,42.9%,42.4%,基努·里维斯,213680,['\n        '],"['2003-07-18(中国大陆)', '2003-05-07(韦斯特伍德首映)', '2003-05-15(美国)']",莉莉·沃卓斯基,['\n        '],黑客帝国2：重装上阵 The Matrix Reloaded,8.5,莉莉·沃卓斯基,138分钟,"['动作', '科幻']"
228,0.1%,0.7%,11.8%,44.3%,43.1%,杰克·尼科尔森,211620,['\n        '],"['2007-12-25(多伦多电影节)', '2008-01-11(美国)']",罗伯·莱纳,['\n        '],遗愿清单 The Bucket List,8.6,Justin Zackham,97 分钟,"['剧情', '喜剧', '冒险']"
229,0.5%,2.6%,27.1%,45.9%,23.9%,小罗伯特·唐尼,341091,['\n        '],"['2013-05-01(中国大陆)', '2013-04-18(伦敦首映)', '2013-05-03(美国)']",沙恩·布莱克,['\n        '],钢铁侠3 Iron Man 3,7.8,沙恩·布莱克,134分钟(中国大陆),"['动作', '科幻']"
230,0.2%,0.7%,9.7%,40.6%,48.9%,多布杰,183472,['\n        '],"['2004-10-01(中国大陆)', '2005-04-21(中国香港)']",陆川,['\n        '],可可西里,8.7,陆川,85分钟(中国大陆),"['剧情', '犯罪']"
231,0.3%,1.2%,12.4%,38.9%,47.2%,海利·乔·奥斯蒙,275096,['\n        '],['2001-06-29(美国)'],史蒂文·斯皮尔伯格,['\n        '],人工智能 Artificial Intelligence: AI,8.6,布莱恩·奥尔迪斯,146分钟,"['剧情', '科幻', '冒险']"
232,0.1%,0.7%,13.9%,50.7%,34.5%,科林·费尔斯,455363,['\n        '],"['2012-02-24(中国大陆)', '2010-09-06(特柳赖德电影节)', '2010-12-25(美国)', '2011-01-07(英国)']",汤姆·霍珀,['\n        '],国王的演讲 The King's Speech,8.4,大卫·塞德勒,118分钟,"['剧情', '传记', '历史']"
233,0.1%,0.5%,10.2%,46.7%,42.6%,莱昂纳多·迪卡普里奥,213966,['\n        '],['2006-12-08(美国)'],爱德华·兹威克,['\n        '],血钻 Blood Diamond,8.6,查尔斯·里维特,143 分钟,"['剧情', '惊悚', '冒险']"
234,0.1%,0.5%,7.6%,35.8%,55.9%,亚历桑德雷·罗德里格斯,210523,['\n        '],"['2002-05-18(戛纳电影节)', '2002-08-30(巴西)']",费尔南多·梅里尔斯,['\n        '],上帝之城 Cidade de Deus,8.9,保罗·林斯,130分钟,"['剧情', '犯罪']"
235,0.3%,0.5%,5.3%,25.9%,68.1%,三船敏郎,118083,['\n        '],['1954-04-26(日本)'],黑泽明,['\n        '],七武士 七人の侍,9.2,黑泽明,160分钟(国际版),"['剧情', '动作', '冒险']"
236,0.1%,0.9%,14.1%,45.1%,39.8%,陈冠希,245634,['\n        '],"['2003-10-01(中国香港)', '2003-10-17(中国大陆)']",刘伟强,[' '],无间道2 無間道II,8.5,麦兆辉,119分钟,"['剧情', '动作', '惊悚', '犯罪']"
237,0.4%,1.7%,18.4%,52.5%,27.0%,邓超,390223,['\n        '],"['2015-08-27(中国大陆)', '2015-06-15(上海电影节)']",曹保平,['\n        '],烈日灼心,8.1,曹保平,139分钟,"['剧情', '悬疑', '犯罪']"
238,1.0%,3.9%,28.1%,46.0%,21.1%,黄轩,607902,['\n        '],"['2017-12-15(中国大陆)', '2017-09-07(多伦多电影节)']",冯小刚,['\n        '],芳华,7.6,严歌苓,136分钟,"['剧情', '历史', '战争']"
239,1.1%,2.0%,10.5%,29.6%,56.8%,凯尔·杜拉,168695,['\n        '],"['1968-04-02(华盛顿首映)', '1968-05-12(英国)']",斯坦利·库布里克,['\n        '],2001太空漫游 2001: A Space Odyssey,8.8,亚瑟·克拉克,149分钟,"['科幻', '惊悚', '冒险']"
240,0.1%,0.2%,4.2%,26.5%,69.0%,查理·卓别林,71038,['\n        '],"['1931-01-30(洛杉矶首映)', '1931-03-07(美国)']",查理·卓别林,['\n        '],城市之光 City Lights,9.3,查理·卓别林,87 分钟,"['剧情', '喜剧', '爱情']"
241,0.3%,1.1%,12.0%,44.2%,42.3%,布拉德·皮特,314359,['\n        '],"['2009-05-20(戛纳电影节)', '2009-08-20(德国)']",昆汀·塔伦蒂诺,['\n        '],无耻混蛋 Inglourious Basterds,8.5,昆汀·塔伦蒂诺,153分钟,"['剧情', '犯罪']"
242,0.2%,0.9%,13.0%,43.5%,42.4%,凯拉·奈特莉,262994,['\n        '],"['2015-06-26(中国大陆)', '2013-09-07(多伦多电影节)', '2014-07-11(美国)']",约翰·卡尼,['\n        '],再次出发之纽约遇见你 Begin Again,8.5,约翰·卡尼,104分钟,"['喜剧', '爱情', '音乐']"
243,0.3%,1.5%,15.6%,44.5%,38.1%,乔·阿尔文,293074,['\n        '],"['2016-11-11(中国大陆)', '2016-10-14(纽约电影节)', '2016-11-18(美国)']",李安,['\n        '],比利·林恩的中场战事 Billy Lynn's Long Halftime Walk,8.4,让-克里斯托弗·卡斯特里,113分钟,"['剧情', '战争']"
244,0.5%,1.4%,13.4%,43.2%,41.5%,本·卫肖,381686,['\n        '],"['2006-09-07(德国)', '2006-09-14(法国)', '2006-11-24(西班牙)', '2007-01-05(美国)']",汤姆·提克威,['\n        '],香水 Perfume: The Story of a Murderer,8.5,安德鲁·伯金,147分钟,"['剧情', '犯罪', '奇幻']"
245,0.3%,1.1%,14.6%,45.4%,38.6%,范·迪塞尔,268287,['\n        '],"['2011-05-12(中国大陆)', '2011-04-29(美国)']",林诣彬,['\n        '],速度与激情5 Fast Five,8.4,克里斯·摩根,130分钟,"['动作', '犯罪']"
246,0.1%,0.6%,13.5%,50.1%,35.7%,克里斯蒂安·贝尔,228914,[' '],"['2005-06-29(中国大陆)', '2005-06-15(美国)']",克里斯托弗·诺兰,[' / '],蝙蝠侠：侠影之谜 Batman Begins,8.4,大卫·S·高耶,140分钟,"['剧情', '动作', '科幻', '惊悚', '犯罪']"
247,0.2%,0.5%,8.2%,41.2%,49.9%,阿部宽,152708,['\n        '],['2008-06-28(日本)'],是枝裕和,['\n        '],步履不停 歩いても 歩いても,8.8,是枝裕和,115分钟,"['剧情', '家庭']"
248,0.1%,0.7%,15.1%,47.8%,36.3%,汤姆·汉克斯,234252,['\n        '],['1995-11-22(美国)'],约翰·拉塞特,['\n        '],玩具总动员 Toy Story,8.4,乔斯·韦登,81分钟,"['喜剧', '动画', '家庭']"
249,0.4%,1.7%,16.6%,42.1%,39.3%,马丁·弗瑞曼,264832,['\n        '],"['2015-01-23(中国大陆)', '2014-12-17(美国)']",彼得·杰克逊,['\n        '],霍比特人3：五军之战 The Hobbit: The Battle of the Five Armies,8.4,弗兰·威尔士,144分钟,"['动作', '奇幻', '冒险']"
250,0.5%,3.2%,29.8%,47.6%,19.0%,本尼迪克特·康伯巴奇,440477,['\n        '],"['2016-11-04(中国大陆/美国)', '2016-10-25(英国)']",斯科特·德瑞克森,['\n        '],奇异博士 Doctor Strange,7.6,史蒂夫·迪特寇,115分钟,"['动作', '奇幻', '冒险']"
251,0.4%,1.5%,17.5%,48.6%,32.0%,希亚·拉博夫,336300,['\n        '],"['2007-07-11(中国大陆)', '2007-07-03(美国)']",迈克尔·贝,['\n        '],变形金刚 Transformers,8.2,罗伯托·奥奇,144分钟,"['动作', '科幻']"
252,0.2%,0.9%,12.2%,40.7%,46.0%,仲里依纱,266494,['\n        '],['2006-07-15(日本)'],细田守,[' '],穿越时空的少女 時をかける少女,8.6,奥寺佐渡子,98分钟,"['剧情', '爱情', '科幻', '动画']"
253,0.1%,0.4%,9.1%,40.3%,50.1%,费雯·丽,173837,['\n        '],['1940-05-17(美国)'],茂文·勒鲁瓦,['\n        '],魂断蓝桥 Waterloo Bridge,8.8,塞缪尔·N·贝尔曼,108分钟,"['剧情', '爱情', '战争']"
254,0.4%,1.9%,20.7%,45.5%,31.5%,丹尼尔·雷德克里夫,275408,['\n        '],['2010-11-19(中国大陆/英国)'],大卫·叶茨,['\n        '],哈利·波特与死亡圣器(上) Harry Potter and the Deathly Hallows: Part 1,8.1,史蒂夫·克洛夫斯,146分钟,"['剧情', '奇幻', '冒险']"
255,0.4%,1.2%,10.0%,33.9%,54.4%,张震,160744,['\n        '],['1991-07-27(中国台湾)'],杨德昌,['\n        '],牯岭街少年杀人事件 牯嶺街少年殺人事件,8.8,杨德昌,237分钟(导演剪辑版),"['剧情', '犯罪']"
256,0.2%,0.6%,7.9%,35.8%,55.4%,岩男润子,161472,['\n        '],"['1997-07(加拿大奇幻电影节)', '1998-02-28(日本)']",今敏,['\n        '],未麻的部屋 Perfect Blue,8.9,村井贞之,81 分钟,"['动画', '惊悚', '奇幻']"
257,0.7%,2.4%,16.8%,41.6%,38.5%,瑞恩·高斯林,304195,['\n        '],"['2017-10-27(中国大陆)', '2017-10-06(美国)']",丹尼斯·维伦纽瓦,['\n        '],银翼杀手2049 Blade Runner 2049,8.3,汉普顿·范彻,163分钟,"['剧情', '科幻', '惊悚']"
258,0.1%,1.1%,17.0%,49.9%,31.8%,约翰尼·德普,287488,['\n        '],['2006-07-07(美国)'],戈尔·维宾斯基,['\n        '],加勒比海盗2：聚魂棺 Pirates of the Caribbean: Dead Man's Chest,8.2,Ted Elliott,151 分钟,"['动作', '奇幻', '冒险']"
259,0.1%,0.4%,7.1%,34.0%,58.4%,吉恩·凯利,132698,['\n        '],['1952-04-11(美国)'],斯坦利·多南,['\n        '],雨中曲 Singin' in the Rain,9.0,贝蒂·康登,103分钟,"['喜剧', '爱情', '歌舞']"
260,0.3%,1.8%,22.8%,45.0%,30.1%,丹尼尔·雷德克里夫,258253,['\n        '],"['2007-08-10(中国大陆)', '2007-07-11(美国)']",大卫·叶茨,['\n        '],哈利·波特与凤凰社 Harry Potter and the Order of the Phoenix,8.1,迈克尔·戈登伯格,138 分钟,"['奇幻', '冒险']"
261,2.4%,5.5%,26.8%,40.7%,24.5%,沈腾,591182,['\n        '],['2015-09-30(中国大陆)'],闫非,['\n        '],夏洛特烦恼,7.6,闫非,104分钟,"['喜剧', '爱情']"
262,0.3%,2.1%,29.6%,50.3%,17.7%,保罗·路德,350299,['\n        '],"['2015-10-16(中国大陆)', '2015-07-17(美国)']",佩顿·里德,['\n        '],蚁人 Ant-Man,7.7,斯坦·李,117分钟,"['动作', '科幻', '冒险']"
263,0.2%,1.1%,21.1%,51.6%,26.1%,安妮·海瑟薇,478444,['\n        '],"['2007-02-27(中国大陆)', '2006-06-30(美国)']",大卫·弗兰科尔,['\n        '],穿普拉达的女王 The Devil Wears Prada,8.0,艾莲·布洛什·麦肯纳,109 分钟,"['剧情', '爱情']"
264,0.2%,0.7%,9.5%,36.0%,53.7%,山口胜平,216137,['\n        '],['2010-10-16(日本)'],藤森雅也,['\n        '],你看起来好像很好吃 おまえうまそうだな,8.8,村上修,90分钟,"['剧情', '动画', '儿童']"
265,0.1%,0.8%,16.7%,53.2%,29.1%,詹姆斯·麦卡沃伊,270372,['\n        '],"['2011-05-25(纽约首映)', '2011-06-01(英国)', '2011-06-03(美国)']",马修·沃恩,['\n        '],X战警：第一战 X-Men: First Class,8.2,简·古德曼,132分钟,"['剧情', '动作', '科幻']"
266,0.1%,0.5%,8.3%,40.8%,50.2%,马克·鲁弗洛,183317,['\n        '],"['2015-09-03(威尼斯电影节)', '2015-11-25(美国)']",汤姆·麦卡锡,['\n        '],聚焦 Spotlight,8.8,乔希·辛格,128分钟,"['剧情', '传记']"
267,0.3%,0.9%,10.2%,37.6%,51.0%,汤姆·汉克斯,161342,['\n        '],['1999-12-10(美国)'],弗兰克·德拉邦特,[' '],绿里奇迹 The Green Mile,8.8,弗兰克·德拉邦特,189 分钟,"['剧情', '悬疑', '犯罪', '奇幻']"
268,0.2%,0.4%,6.9%,37.3%,55.2%,安东尼·博金斯,139418,['\n        '],"['1960-06-16(纽约首映)', '1960-09-08(美国)']",阿尔弗雷德·希区柯克,['\n        '],惊魂记 Psycho,8.9,约瑟夫·斯蒂凡诺,109分钟,"['悬疑', '惊悚', '恐怖']"
