,1星,2星,3星,4星,5星,actor,comment,country,date,director,language,name,score,scriptwriter,time,type
215,1.0%,9.0%,51.5%,30.7%,7.9%,马捷·泽姆吉奇,753,['\n        '],['2018-09-07(多伦多电影节)'],达科·斯坦特,['\n        '],后果 Posledice,6.7,达科·斯坦特,95分钟,"['剧情', '同性', '犯罪']"
216,2.0%,12.7%,51.3%,26.0%,8.1%,神木隆之介,1817,['\n        '],['2019-02-15(日本)'],三木孝浩,['\n        '],福尔图娜之瞳 フォルトゥナの瞳,6.5,坂口理子,111分钟,"['剧情', '爱情', '奇幻']"
217,1.7%,11.4%,58.5%,23.0%,5.3%,杰拉德·巴特勒,11005,['\n        '],['2019-08-23(美国)'],里克·罗曼·沃夫,['\n        '],天使陷落 Angel Has Fallen,6.4,凯特琳·贝内迪克特,121分钟,"['动作', '惊悚', '犯罪']"
218,3.1%,14.4%,48.6%,27.1%,6.8%,乔纳斯·达斯勒,2739,['\n        '],['2019-02-09(柏林电影节)'],法提赫·阿金,['\n        '],金手套 Der Goldene Handschuh,6.4,法提赫·阿金,110分钟,"['剧情', '惊悚', '犯罪']"
219,0.5%,3.0%,31.1%,48.8%,16.6%,曹政奭,79489,['\n        '],['2019-07-31(韩国)'],李相槿,['\n        '],极限逃生 엑시트,7.6,李相槿,103分钟,"['喜剧', '动作', '灾难']"
220,3.0%,18.2%,59.6%,15.3%,4.0%,亨利·卡维尔,1721,['\n        '],"['2018-09-28(洛杉矶电影节)', '2019-09-06(美国)']",大卫·雷蒙德,['\n        '],夜幕猎人 Night Hunter,6.0,大卫·雷蒙德,98分钟,"['动作', '惊悚']"
221,1.8%,10.0%,51.3%,26.9%,10.0%,杰基·韦佛,503,['\n        '],['2019-05-10(美国)'],扎拉·海斯,['\n        '],老太啦啦队 Poms,6.7,沙恩·阿特金森,91分钟,['喜剧']
222,5.6%,14.3%,45.5%,18.7%,15.9%,克丽丝·梅斯,467,['\n        '],['2019-04-17(美国)'],罗克珊·道森,['\n        '],不可能的事 Breakthrough,6.5,格兰特·尼波特,116分钟,"['剧情', '传记']"
223,2.3%,18.6%,56.2%,20.3%,2.6%,大鹏,21888,['\n        '],"['2019-08-30(中国大陆)', '2019-06-21(上海电影节)']",甘剑宇,['\n        '],铤而走险,6.0,李萌,103分钟,"['剧情', '犯罪']"
224,8.2%,17.8%,47.3%,18.9%,7.8%,塔拉·斯特朗,330,['\n        '],['2018-04-20(西班牙)'],罗斯·维诺库尔,['\n        '],白马王子 Charming,6.0,罗斯·维诺库尔,90分钟,"['喜剧', '动画']"
